College Name,Subject,Topics Covered
IIIT Hyderabad,SIGNAL PROCESSING,"Analog-To- Digital Conversion, Aliasing, Quantization, Digital Filter Design"
IIIT Hyderabad,SPECTROSCOPY,"Energy-Level Diagram, Energy Spectrum, Electronic States, Vibrational States, Rotational States, Excitation And Relaxation, Atomic Spectra, Selection Rules, L-S Coupling, Many-Electron Atoms, Isotope Shift, Molecular Spectra"
IIIT Hyderabad,SPEECH SIGNAL PROCESSING,"Of Signal Processing, Speech Production, Speech Perception, Types Of Speech, Pitch, Formants, Speech Analysis, Stft Analysis"
IIIT Hyderabad,STATISTICAL METHODS IN ARTIFICIAL INTELLIGENCE,"Representation, Vectors, Distributions, Dimensionality Reduction, Pca, Perceptron’S, Decision Trees, Analysis, Support Vector Machines, Kernels, Bias And Variance, Model Selection"
IIIT Hyderabad,STRUCTURAL DYNAMICS,"Definition Of Dof, Free Vibration Of Systems, Damping In Structures, Undamped Systems, Forced Vibration Of Systems, Strain Energy Of System, Numerical Methods, Mode Superposition Principle, Modal Truncation Errors, Ritz Vector Approach, Direct Integration Methods, Rayleigh'S Method"
IIIT Hyderabad,STRUCTURAL ENGINEERING DESIGN STUDIO,"Structural Analysis-Force Methods-Displacement Methods, Deflected Shape-Deflections, Frames, Gauss Elimination, Newton-Raphson, To Matlab – Vectors, Arrays And Matrices, Branching Statements And Loops, To Plotting, Linear Algebra, Curve Fitting, Script And Functions"
IIIT Hyderabad,STRUCTURAL SAFETY OF BUILT INFRASTRUCTURE,"To Structural Assessment, Structural Collapse, Type Of Collapse, Relevant Recommendations, Simple Methods, Thrust Line Analysis, Stability Under Self- Weight, Gravity Loads, Lateral Loads, Equilibrium Governing Systems, Material Models, Continuous"
IIIT Hyderabad,SYSTEMS BIOLOGY,"Network Organization, Motifs, Modules, And Hierarchical Networks, Biological Switches And Clocks, Robustness Of Biological Systems, Biological Noise"
IIIT Hyderabad,SYSTEMS THINKING,
IIIT Hyderabad,THEORY OF ELASTICITY,"Elasticity And Its Types, Inelastic Material, Materials And Its Properties, Assumptions In Elasticity, Mathematical Preliminaries, Cartesian Co-Ordinates, To Tensor, Matrix Representation, Perators And Symbols, Of Stresses And Strains, Infinitesimal Area And Volume, Cauchy’S Stress"
IIIT Hyderabad,THINKING AND KNOWING IN THE HUMAN SCIENCES – II,"Sociological, Social Structures, Individuals And Groups, Socialisation, Structure/Agency, Status And Roles, Rules, Values, Norms, Culture, Discourse, Deviance"
IIIT Hyderabad,THINKING AND KNOWING IN HUMAN SCIENCES- 3,"Ways Of Doing Economics, Marxist, Keynesian, Theoretical Foundations Of Microeconomics, Theoretical Foundations Of Macroeconomics, Macroeconomic Measurement. Aggregate Demand, Political Science, Divine And Social Contract, Meaning, Authority And Legitimacy, Of Citizenship, Liberty"
IIIT Hyderabad,TOPICS IN APPLIED OPTIMIZATION,"Convex Sets, Convex Functions, Duality, Steepest Descent, Newton Methods, Quasi-Newton Methods, Interior Point Methods, Stochastic Optimization Algorithms (Sgd, Rmsprop, Adam, Svrg, Etc"
IIIT Hyderabad,TOPICS IN NANOSCIENCES,"To Nanoscience. (3L) Nanomaterials, Size Scales, Surface And Interface, Surface Energy, Clusters And Magic Numbers, Nanoparticles, And Colloids. Metal, Semiconductor, And Bio Nanomaterials, Liquid Droplets, Thermal (Melting And Conduction, Mechanical And Catalytic Properties"
IIIT Hyderabad,USER RESEARCH METHODS,"Understanding User, Lab And Field, Quantitative And Qualitative Methods, Ethics In User Research, Lab Participants Rights, Thematic, Values, Key Observations, Control Rights, Why Empathetic, Risk User-Centric Design Analysis, Site Visits"
IIIT Hyderabad,VALUE EDUCATION – I,"Self-Exploration, Developing A Holistic View, Understanding Self And Other, Self-Self, Self-Family, Self-Society, Self-Nature, Understanding Human Relationships, Harmony In Society, The Sense Of Safety, Nature And Sustainability, Self-Reliance And Gandhian Thought"
IIIT Hyderabad,WIRELESS COMMUNICATIONS,"Review Of Digital Communication, Ptimal Detection, Channel Modeling, Multipath Propagation, Pathloss And Fading, Types Of Fading, Frequency And Time Selectivity, Diversity Techniques, Spatial, Time And Frequency Diversity, Mimo Communication Systems, Capacity Analysis"
