College Name,Subject,Topics Covered
NIT TIRUCHIRAPPALLI,INFORMATION SECURITY,"History, Critical Of Information, Nstissc Security Model, Securing The Components, Sdlc, Security Sdlc, Security Investigation, Security, Business Needs, Threats, Attacks, Legal"
NIT TIRUCHIRAPPALLI,HUMAN COMPUTER INTERACTION,"Hci Foundations, Input–Output Channels, Human Memory, Thinking, Emotion, Individual Differences, Text Entry Devices, Positioning, Pointing And Drawing, Display Devices, Physical Controls, Paper"
NIT TIRUCHIRAPPALLI,DATA SCIENCE,"Data Science, Data Science Classification, Data Science Algorithms, Data, Science Process, Prior Knowledge, Data Preparation, Modeling, Application, Knowledge, Data Exploration, Datasets"
NIT TIRUCHIRAPPALLI,GPU COMPUTING,"Graphics Processing Units, As Parallel Computers, Parallelism?, Overarching Goals, Graphics Pipelines, Gpu Computing, Parallel Programming, Problem Decomposition, Algorithm Selection, Computational Thinking, Opencl, Background"
NIT TIRUCHIRAPPALLI,INTERNET OF THINGS – PRINCIPLES AND PRACTICES,"Internet Of Things, Enabling Technologies, Iot Architectures, Nem2M, Iot World Forum, Iotwf, Alternative Iot Models, Edge, Cloud In Iot, Sensors, Actuators, Smart Objects"
NIT TIRUCHIRAPPALLI,SOCIAL NETWORK ANALYSIS,"Semantic Web, Emergence, Social Web, Social Network Analysis, Key And Measures, Network Analysis, Electronic Networks, Blogs And Online, Communities, Web-Based Networks, Modelling, Ontology-Based Knowledge"
NIT TIRUCHIRAPPALLI,SPEECH PROCESSING TECHNIQUES,"Speech Source, Speech, Articulatory Phonetics, Acoustic, Phonetics, Short-Time Fourier, Transform, Speech Analysis, Speech Distortion Measures, Mathematical And Perceptual, Spectral Distance, Cepstral Distances"
NIT TIRUCHIRAPPALLI,DATA STRUCTURES AND ALGORITHMS,"Development Of Algorithms, Notations And Analysis, Sparse Matrices, Stacks And Queues, Representations, Applications, Linked Lists, Doubly Linked Lists, Circular Linked Lists, Trees, Preliminaries, Binary Trees"
NIT TIRUCHIRAPPALLI,ARTIFICIAL INTELLIGENCE,"Intelligent Agents, Typical, Problem Solving Methods, Search Strategies, Uninformed, Informed, Heuristics, Local Search Algorithms, Optimization Problems, Backtracking Search, Performance Of Search, Algorithms"
NIT TIRUCHIRAPPALLI,SOFTWARE DEFINED NETWORKING,"Control Plane, Data Plane, Distributed Control Planes, Ip And Mpls, Convergence Time, Replication, Centralized, Control Planes, Logical Versus Litera, Atm/Lane, Route Servers, Wire Protocol"
NIT TIRUCHIRAPPALLI,DISTRIBUTED SYSTEMS,"Message-Passing Systems, Synchronous Versus Asynchronous, Executions, Distributed Computing Paradigms, Procedures And Methods, Issues In Communication, Remote Procedure Call, Remote Method Invocation, Message- And Stream-Oriented, Communication, Synchronization, Processes And Threads"
NIT TIRUCHIRAPPALLI,MULTI-CORE PROGRAMMING,"Scalable Design, Processor Design, Instruction Level Parallelism, Thread Level, Parallelism, Parallel Computer Models, Performance, Issues, Multi-Core Architectures, Design, Case Studies, Intel Multi-Core Architecture"
NIT TIRUCHIRAPPALLI,PERVASIVE AND UBIQUITOUS COMPUTING,"Pervasive Computing, Interaction Transparency, Context Aware, Automated, Experience Capture, Pervasive Computing Infrastructure, Pervasive Devices, Embedded Controls, Technologies, Hardware, Human-Machine Interfaces, Biometrics"
NIT TIRUCHIRAPPALLI,MIDDLEWARE TECHNOLOGIES,"Client Server Computing, Client Server Models, Pitfalls, Client Server Programming, Middleware, Client/Server Building Blocks, Objects, Elements, Architecture, Middleware Distributed Applications, Middleware Types, Transaction Oriented Middleware"
NIT TIRUCHIRAPPALLI,RANDOMIZED ALGORITHMS,"Probability And Computing, Elements Of Probability, Verification Of Strings, Poly Identities, Matrix Multiplication, Las Vegas, Monte Carlo Algorithms, Expectations, Jensen'S Inequality, Coupon Collector'S Problem, Geometric, Distribution"
NIT TIRUCHIRAPPALLI,BIG DATA MINING,"Big Data, Data Analytics Lifecycle, Data, Analytics Lifecycle, Discovery, Data Preparation, Model Planning, Model Building, Communicate, Results, Perationalize, Exploratory Data Analytics"
NIT TIRUCHIRAPPALLI,MODELLING AND SIMULATION,"Simulation, Inventory, Technique Of Simulation, Major Application Areas, A System, Continuous, Discrete Systems, Systems Modeling, Types Of Models, Monte Carlo Method, Applications, Discrete-Time Markov Chains"
NIT TIRUCHIRAPPALLI,BIG DATA ANALYTICS,"Big Data, Examining Big Data, Types, Big Data Analytics, Web Data, Hadoop, History Of Hadoop, Hadoop Ecosystem, Hadoop Distributed File, System, Design, Hdfs"
NIT TIRUCHIRAPPALLI,CLOUD & GRID COMPUTING,"Distributed Computing, Cluster Computing, Software, Grid Computing, Motivation, Functionality Requirements, Ogsa Services, Virtualization Structures/Tools, Mechanisms, Virtualization Of Cpu, Storage Virtualization, Cloud Computing"
NIT TIRUCHIRAPPALLI,COMPUTER GRAPHICS AND MULTIMEDIA SYSTEMS,"Display Devices, Systems, Color Models, Graphics Primitives, Points, Lines, Scan Conversion, Algorithms For Primitives, Two-Dimensional Graphics, Matrix Representations, Homogeneous Coordinates, Composite Transformations"
NIT TIRUCHIRAPPALLI,DISTRIBUTED ARCHITECTURE,"Distributed System, Object Model, Middleware, Sample Application, Corba, Creation Process, Application Development, Bootstrapping Problem, Naming Service, Orb Architecture, Transport Layer, Presentation Layer"
NIT TIRUCHIRAPPALLI,IMAGE PROCESSING,"Image Processing, Human Visual Perception, Image Formation, Sampling And Quantization, Binary Image, Three-Dimensional Imaging, Image File, Formats, Perception Of Colors, Image Transformation, Fourier Transforms, Discrete Cosine Transform"
NIT TIRUCHIRAPPALLI,INTERNET OF THINGS,"Foundations, Challenges And Issues, Identification, Security, Control Units, Sensors, Communication Modules, Power Sources, Communication Technologies, Rfid, Bluetooth, Zigbee"
NIT TIRUCHIRAPPALLI,MACHINE LEARNING FOR ENGINEERING APPLICATIONS,"Machine Learning, What And Why?, Supervised Learning, Unsupervised Learning, Curse Of Dimensionality, Model Selection, Error Analysis, Validation, Parametric Vs, Non-Parametric Models, Classification Models, Naïve Bayes Classifier"
NIT TIRUCHIRAPPALLI,SECURITY PRINCIPLES,"History, Critical Of Information, Nstissc Security Model, Securing The Components, Sdlc, Security Sdlc, Security Investigation, Security, Business Needs, Threats, Attacks, Legal"
NIT TIRUCHIRAPPALLI,SOFT COMPUTING,"Soft Computing, Soft Computing Vs, Hard Computing, Techniques, Model, Activation Functions, Neural Network Architecture, Mccullochpitts Neuron Model, Perceptron Model, Effect, Learning Rule Coefficient, Architecture"
NIT TIRUCHIRAPPALLI,SOFTWARE PROJECT MANAGEMENT,"Components Of Spm, Challenges And Opportunities, Tools And Techniques, Managing Human Resource, Technical Resource, Training And Development, Project Management, Techniques, Software Measurements, Cost, Software Quality, Quality Assurance"
NIT TIRUCHIRAPPALLI,SOFTWARE TESTING AND PRACTICES,"Software Testing, Testing Maturity, Model, Origin Of Defects, Defect Classes, Defect, Testing Strategies, Testing Design Strategies, Black Box Testing, Random Testing, Equivalence Partitioning, Boundary Value Analysis"
NIT TIRUCHIRAPPALLI,WEB TECHNOLOGY,"Web Page Designing, Html, List, Tables, Images, Forms, Frames, Cascading Style Sheets, Xml Document Type, Xml Schemas, Document Object Model, Scripting"
